t,err,px,py,pz,qw,qx,qy,qz,u1,u2,u3,u4,u5,u6
8.100000000,0.000053029,1.567531121,-0.331110951,0.361110939,0.412600657,0.244672288,0.632785769,0.607847300,0.287634537,0.000000000,0.000000000,0.083446883,0.143685496,0.143685496
8.200000000,0.000053457,1.572752019,-0.335715610,0.332176213,0.405440355,0.252902908,0.632073505,0.610033869,0.284278295,0.000000000,0.000000000,0.080845848,0.138606881,0.138606881
8.300000000,0.000055016,1.577518787,-0.339933532,0.302857618,0.398413410,0.260872673,0.631268572,0.612137398,0.281244582,0.000000000,0.000000000,0.078476230,0.133479236,0.133479236
8.400000000,0.000057228,1.581830130,-0.343759786,0.273189070,0.391505008,0.268607836,0.630376845,0.614165037,0.278527249,0.000000000,0.000000000,0.076333660,0.128319928,0.128319928
8.500000000,0.000059754,1.585684873,-0.347189900,0.243204881,0.384700386,0.276133185,0.629403247,0.616123064,0.276120451,0.000000000,0.000000000,0.074413952,0.123145595,0.123145595
8.600000000,0.000062376,1.589081965,-0.350219868,0.212939708,0.377984892,0.283472100,0.628351848,0.618016946,0.274018774,0.000000000,0.000000000,0.072713159,0.117972275,0.117972275
8.700000000,0.000064957,1.592020477,-0.352846154,0.182428528,0.371344025,0.290646624,0.627225953,0.619851401,0.272217330,0.000000000,0.000000000,0.071227615,0.112815531,0.112815531
8.800000000,0.000067420,1.594499607,-0.355065690,0.151706588,0.364763448,0.297677551,0.626028183,0.621630450,0.270711814,0.000000000,0.000000000,0.069953964,0.107690548,0.107690548
8.900000000,0.000069723,1.596518678,-0.356875887,0.120809372,0.358228987,0.304584515,0.624760539,0.623357470,0.269498540,0.000000000,0.000000000,0.068889181,0.102612233,0.102612233
9.000000000,0.000071846,1.598077142,-0.358274628,0.089772560,0.351726611,0.311386087,0.623424456,0.625035234,0.268574451,0.000000000,0.000000000,0.068030582,0.097595297,0.097595297
9.100000000,0.000073782,1.599174578,-0.359260277,0.058631986,0.345242404,0.318099874,0.622020854,0.626665947,0.267937117,0.000000000,0.000000000,0.067375837,0.092654325,0.092654325
9.200000000,0.000075532,1.599810695,-0.359831678,0.027423598,0.338762528,0.324742614,0.620550170,0.628251279,0.267584719,0.000000000,0.000000000,0.066922969,0.087803850,0.087803850
9.300000000,0.000077103,1.599985333,-0.359988154,-0.003816579,0.332273176,0.331330271,0.619012393,0.629792383,0.267516027,0.000000000,0.000000000,0.066670354,0.083058409,0.083058409
9.400000000,0.000078503,1.599698459,-0.359729511,-0.035052492,0.325760516,0.337878125,0.617407079,0.631289916,0.267730365,0.000000000,0.000000000,0.066616727,0.078432598,0.078432598
9.500000000,0.000079739,1.598950174,-0.359056034,-0.066248091,0.319210642,0.344400859,0.615733373,0.632744046,0.268227576,0.000000000,0.000000000,0.066761171,0.073941126,0.073941126
9.600000000,0.000080823,1.597740707,-0.357968490,-0.097367380,0.312609505,0.350912638,0.613990014,0.634154461,0.269007980,0.000000000,0.000000000,0.067103119,0.069598858,0.069598858
9.700000000,0.000081762,1.596070421,-0.356468124,-0.128374451,0.305942858,0.357427186,0.612175341,0.635520359,0.270072325,0.000000000,0.000000000,0.067642347,0.065420864,0.065420864
9.800000000,0.000082565,1.593939808,-0.354556659,-0.159233527,0.299196185,0.363957854,0.610287287,0.636840444,0.271421735,0.000000000,0.000000000,0.068378970,0.061422456,0.061422456
9.900000000,0.000083240,1.591349492,-0.352236293,-0.189909004,0.292354633,0.370517680,0.608323376,0.638112911,0.273057654,0.000000000,0.000000000,0.069313434,0.057619229,0.057619229
10.000000000,0.000083793,1.588300229,-0.349509698,-0.220365493,0.285402951,0.377119445,0.606280711,0.639335420,0.274981779,0.000000000,0.000000000,0.070446505,0.054027100,0.054027100
10.100000000,0.000084231,1.584792906,-0.346380012,-0.250567857,0.278325416,0.383775719,0.604155955,0.640505068,0.277195989,0.000000000,0.000000000,0.071779263,0.050662336,0.050662336
10.200000000,0.000084560,1.580828541,-0.342850843,-0.280481254,0.271105767,0.390498898,0.601945313,0.641618355,0.279702259,0.000000000,0.000000000,0.073313084,0.047541590,0.047541590
10.300000000,0.000084786,1.576408283,-0.338926258,-0.310071176,0.263727140,0.397301231,0.599644508,0.642671138,0.282502569,0.000000000,0.000000000,0.075049620,0.044681925,0.044681925
10.400000000,0.000084912,1.571533412,-0.334610779,-0.339303489,0.256172003,0.404194840,0.597248750,0.643658579,0.285598785,0.000000000,0.000000000,0.076990780,0.042100836,0.042100836
10.500000000,0.000084943,1.566205338,-0.329909384,-0.368144473,0.248422094,0.411191722,0.594752710,0.644575089,0.288992535,0.000000000,0.000000000,0.079138694,0.039816266,0.039816266
10.600000000,0.000084883,1.560425602,-0.324827492,-0.396560858,0.240458370,0.418303744,0.592150477,0.645414256,0.292685056,0.000000000,0.000000000,0.081495673,0.037846612,0.037846612
10.700000000,0.000084736,1.554195875,-0.319370964,-0.424519867,0.232260957,0.425542615,0.589435530,0.646168775,0.296677009,0.000000000,0.000000000,0.084064163,0.036210719,0.036210719
10.800000000,0.000084505,1.547517956,-0.313546091,-0.451989249,0.223809113,0.432919849,0.586600692,0.646830359,0.300968276,0.000000000,0.000000000,0.086846674,0.034927864,0.034927864
10.900000000,0.000084194,1.540393774,-0.307359592,-0.478937319,0.215081206,0.440446696,0.583638095,0.647389649,0.305557706,0.000000000,0.000000000,0.089845704,0.034017715,0.034017715
11.000000000,0.000083805,1.532825387,-0.300818601,-0.505332992,0.206054707,0.448134061,0.580539135,0.647836117,0.310442834,0.000000000,0.000000000,0.093063638,0.033500271,0.033500271
11.100000000,0.000083343,1.524814979,-0.293930662,-0.531145823,0.196706209,0.455992384,0.577294444,0.648157958,0.315619535,0.000000000,0.000000000,0.096502625,0.033395776,0.033395776
11.200000000,0.000082810,1.516364863,-0.286703720,-0.556346038,0.187011476,0.464031498,0.573893848,0.648341984,0.321081646,0.000000000,0.000000000,0.100164428,0.033724588,0.033724588
11.300000000,0.000082209,1.507477478,-0.279146110,-0.580904570,0.176945523,0.472260448,0.570326350,0.648373508,0.326820514,0.000000000,0.000000000,0.104050247,0.034507010,0.034507010
11.400000000,0.000081543,1.498155388,-0.271266548,-0.604793093,0.166482749,0.480687263,0.566580113,0.648236241,0.332824493,0.000000000,0.000000000,0.108160497,0.035763069,0.035763069
